# Time-averaged data for fix rho
# TimeStep v_dens v_vol
5000 0.982091 15879.6
10000 0.999299 15598.7
15000 0.99098 15728.3
20000 1.00667 15484.8
25000 0.998833 15605.7
30000 0.995544 15657
35000 1.00229 15551.7
40000 1.00064 15577.5
45000 0.999417 15596.7
50000 1.0058 15497.4
55000 1.00256 15547.4
60000 1.00097 15572.5
65000 0.987685 15781.4
70000 0.984645 15829.7
75000 0.989909 15747.9
80000 0.997677 15622.8
85000 1.00067 15577.2
90000 1.00058 15578.3
95000 0.997626 15624.1
100000 1.00224 15552.1
