# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
55400 -1.28275 8.5993 16037.3
55500 -7.51325 297362 16127.7
55600 -2.50026 66.2821 16165.4
55700 -3.57967 405.259 16193.9
55800 -1.78246 19.8836 16181.7
55900 -1.93874 25.8427 16190.5
56000 -1.02522 5.58287 16095.7
56100 -7.75341 444875 16038.8
56200 -5.61917 12401.5 16089.2
56300 -3.91324 709.135 16173.7
56400 -0.950974 4.92912 16148.8
56500 -2.27768 45.6303 16033
56600 -2.48392 64.4907 15930.6
56700 -1.14047 6.77353 15916.6
56800 -2.44116 60.0271 15942
56900 -1.28346 8.60953 15954.6
57000 -6.52035 56230.7 16034.4
57100 -3.74691 536.492 16085.2
57200 -2.68666 90.6131 16094.2
57300 -4.41613 1648.47 16185.4
57400 -2.26421 44.6109 16218.8
57500 -2.76738 103.75 16240
57600 -3.77358 561.039 16239.4
57700 -4.25452 1257.05 16176
57800 -5.19541 6092.19 16182.6
57900 -2.84888 118.95 16189.6
58000 -2.52305 68.8652 16137.2
58100 0.086473 0.864979 16013.5
58200 -1.79968 20.4662 15966.6
58300 -4.39379 1587.83 15958.4
58400 -0.459421 2.16113 15979.5
58500 -5.95309 21713.7 16065.5
58600 -3.82797 614.633 16046.6
58700 -7.58019 332697 16020.9
58800 -2.78536 106.928 16061.7
58900 -4.64895 2436.05 16125.6
59000 -2.71825 95.5428 16191.9
59100 -4.03652 872.053 16200.5
59200 -2.81118 111.66 16125.4
59300 -4.49768 1890.1 16015.3
59400 -2.62958 82.3394 15989
59500 -2.51209 67.6112 15894.4
59600 -6.67939 73422.8 15803
59700 -6.0554 25778.7 15865.6
59800 -4.81049 3194.22 16022.4
59900 -6.13702 29561.1 16187.8
60000 -4.85789 3458.57 16291.3
60100 -3.71627 509.619 16285.3
60200 -2.02624 29.9286 16236
60300 -4.67931 2563.31 16164
60400 -7.37722 236694 16089
60500 -4.01149 836.192 16081.1
60600 -8.02098 696881 16048
60700 -2.67108 88.2755 16056.7
60800 -5.15515 5694.38 16056.3
60900 -5.17197 5857.26 15982.4
61000 -0.166533 1.32226 16008.5
61100 -0.46789 2.19205 16109.4
61200 -4.39291 1585.5 16112.5
61300 -3.05471 168 16063.2
61400 -1.41802 10.7895 15989.7
61500 -7.1031 149451 16025.8
61600 -3.95038 754.725 16091.4
61700 -3.3795 289.675 16134.9
61800 -2.30414 47.7013 16091.9
61900 -3.70777 502.403 16062.7
62000 -4.93794 3955.58 16071
62100 -1.86514 22.8415 16117.4
62200 -3.63476 444.494 16163.6
62300 -4.21924 1184.81 16246.6
62400 -3.77705 564.311 16310.9
62500 -4.51583 1948.53 16315.3
62600 -5.66062 13294.6 16255.8
62700 -5.32675 7593.68 16228.6
62800 -5.98281 22823.3 16213.7
62900 -3.59552 416.179 16212.1
63000 -6.21433 33654.3 16211.5
63100 -0.881918 4.38998 16154
63200 -1.82926 21.5072 16090.5
63300 -3.3658 283.094 16055.1
63400 -7.79685 478501 16057.5
63500 -2.21699 41.2137 16141.2
63600 -5.1335 5491.29 16252.6
63700 -5.94575 21447.7 16280.1
63800 -0.455292 2.14621 16243.8
63900 -6.82127 93150.2 16163.8
64000 -5.5875 11759.8 16121
64100 -5.47711 9772.06 16148.2
64200 -3.68196 481.113 16156.5
64300 -2.40279 56.2853 16141.1
64400 -7.56706 325448 16163.6
64500 -3.27957 244.97 16157.3
64600 -2.03126 30.1817 16203.2
64700 -2.29317 46.8316 16246.8
64800 -3.96188 769.423 16196.2
64900 -2.96949 145.621 16154.7
65000 -1.93199 25.552 16108.8
65100 -4.0487 890.045 16078.8
65200 -3.83953 626.661 16119.4
65300 -5.90146 19912.2 16125.7
65400 -3.35269 276.937 16075
65500 -4.31041 1380.58 16067.7
65600 -2.19035 39.4124 16130.7
65700 -4.39448 1589.67 16184.2
65800 -0.471969 2.2071 16172.5
65900 -4.24567 1238.51 16204.3
66000 -4.29961 1355.81 16231.5
66100 -4.73331 2806.32 16227.9
66200 -1.62964 15.3875 16159.3
66300 -3.2876 248.292 16051.2
66400 -2.71843 95.5731 15942.9
66500 -4.37608 1541.37 15932.4
66600 -6.01753 24192.2 16051
66700 -6.52758 56916.4 16158.6
66800 -7.14501 160333 16235.5
66900 -2.70686 93.7354 16308.4
67000 -13.013 3.01826e+09 16417.3
67100 -4.89331 3670.29 16494.3
67200 -3.60335 421.677 16389.7
67300 -5.5059 10255.6 16190.8
67400 -3.66846 470.342 16102.5
67500 -4.62144 2326.19 16124.9
67600 -8.91586 3.12652e+06 16165.2
67700 -4.09894 968.308 16250.6
67800 -3.53878 378.392 16258.7
67900 -0.38124 1.89552 16202.2
68000 -3.62037 433.894 16210.2
68100 -3.5106 360.922 16219.4
68200 -2.69298 91.5777 16217.6
68300 1.51517 0.0787447 16189.7
68400 -5.33135 7652.44 16184.8
