N,seed,atoms,rg,ree,mind,secs
5,11,163,7.0754696579068845,9.10449801128968,2.1253228794984294,1.8002898693084717
5,23,163,6.794080160511685,8.034275050343263,2.0848909199177226,1.114177942276001
5,37,163,6.866043209239163,7.429702373970439,2.109576814860361,1.1212947368621826
5,53,163,6.981497520345356,9.80467678446901,2.215509921079627,1.205733299255371
10,11,318,8.173011769064809,14.568039833471467,1.938037055543832,6.254501104354858
10,23,318,8.380211243764943,15.027497340643151,1.7313469961494714,5.837651014328003
10,37,318,7.821762238373642,7.835110828058872,1.990814851709794,4.816283941268921
10,53,318,7.8697027760738365,11.859016955741973,1.9130777942608879,5.966692924499512
20,11,628,11.045615843169163,29.092389778309126,1.9253232883955582,26.993863821029663
20,23,628,10.219834968867984,19.957490548643566,1.871340236038556,25.664373874664307
20,37,628,11.035759474741559,20.63714740237771,1.7653610920890503,24.681283950805664
20,53,628,10.20879495176838,20.33000868536752,1.8000289146952329,31.775157928466797
40,11,1248,13.290660834816522,30.06760593459513,1.8534156233703276,135.4365198612213
40,23,1248,14.029375624844326,17.576862665826578,1.8242524128953268,129.09969401359558
40,37,1248,15.616245068893832,29.317821171998595,1.6941761750689786,128.88028001785278
40,53,1248,16.710513351965744,43.78227752214432,1.7773241837278102,141.4465091228485
