# Time-averaged data for fix rho
# TimeStep v_dens v_vol
5000 0.975433 15987.9
10000 0.998009 15618
15000 0.998762 15606.6
20000 1.00304 15540.8
25000 1.00186 15557.9
30000 0.997044 15636
35000 0.997908 15620.9
40000 0.992542 15704.2
45000 0.992396 15707.1
50000 0.997671 15624.2
55000 0.99826 15615.1
60000 1.00062 15577.3
65000 0.987357 15786.9
70000 0.996335 15644.4
75000 1.00293 15541.3
80000 0.999751 15590.4
85000 0.986769 15796.8
90000 1.00443 15517.4
95000 1.00351 15533.4
100000 1.00142 15564.4
