# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
55000 2.11654 22.5682 15763.9
57500 3.47704 4.84754 15556.6
60000 3.25004 4.48302 15630.7
62500 0.888267 44.8612 15752.4
65000 2.1289 7.18363 15793.8
67500 1.18252 1341.71 15649.1
70000 2.31206 8.31187 15644.1
72500 3.92142 0.519953 15644.5
75000 2.0409 699.561 15451
77500 2.36477 9.63872 15608.1
80000 3.92077 4.60063 15571.7
82500 1.39279 10.8826 15768.1
85000 0.68044 22.1382 15843
87500 3.34078 72.7401 15535.7
90000 2.03776 13.0254 15474.2
92500 4.1329 0.295323 15490.1
95000 1.3305 13380.7 15534.4
97500 3.07346 10.2892 15578.5
100000 2.03726 32.2977 15572.4
