# Time-averaged data for fix rho
# TimeStep v_dens v_vol
5000 0.985355 15829.9
10000 0.99634 15644.3
15000 0.992828 15699.1
20000 0.99371 15686.2
25000 0.988565 15767.6
30000 0.99331 15692.4
35000 0.99244 15705.6
40000 0.994523 15672.5
45000 0.999079 15601.6
50000 0.994071 15680.1
55000 0.983084 15855
60000 0.998209 15614.6
65000 1.00152 15563.1
70000 0.997806 15623
75000 0.992791 15700.1
80000 1.00237 15551.3
85000 1.00792 15465.9
90000 0.985039 15823.8
95000 0.994692 15670.1
100000 1.00334 15534.6
105000 0.991382 15722.3
110000 0.993614 15687.6
115000 0.998117 15616.4
120000 0.998056 15617.2
125000 1.0049 15511.3
130000 1.01284 15390.9
135000 0.99531 15659.9
140000 0.991291 15724.3
145000 0.996585 15641.3
150000 1.00354 15531.7
155000 1.00535 15505.2
160000 0.993205 15693.1
165000 0.992358 15707
170000 0.999367 15596.6
175000 0.996506 15642.8
180000 0.996087 15649
185000 0.991533 15720
190000 0.986545 15800.4
195000 0.991082 15726.7
200000 1.00203 15555.9
205000 0.98631 15803.3
210000 1.00198 15556.8
215000 1.00568 15500.3
220000 1.00321 15538
225000 0.994617 15671.3
230000 0.996993 15633.6
235000 0.990576 15736
240000 0.999933 15587.9
245000 0.999208 15599.1
250000 1.00121 15567.9
255000 0.999327 15597.2
260000 1.00356 15533.8
265000 0.993606 15687.4
270000 0.991664 15718.3
275000 0.996014 15651.1
280000 0.993697 15687.1
285000 1.00069 15576.1
290000 1.00362 15532.3
295000 1.00322 15537.4
300000 0.999474 15595.9
305000 0.995556 15657
310000 1.00109 15569.3
315000 1.0018 15559
320000 0.991132 15727.1
325000 0.991709 15717.5
330000 0.992886 15698.9
335000 0.999977 15588
340000 0.998828 15604.8
345000 0.995533 15658.5
350000 0.996068 15649.4
355000 0.994706 15670.4
360000 1.0031 15539.2
365000 1.00877 15451.6
370000 0.986692 15797.4
375000 0.998759 15607.5
380000 0.995883 15651.7
385000 0.996809 15636.4
390000 0.99916 15601.6
395000 0.994963 15666.1
400000 0.985317 15818.8
405000 0.996481 15642.2
410000 1.00728 15475.5
415000 1.00247 15547.6
420000 0.99297 15697.1
425000 0.993946 15683.2
430000 1.00322 15538.3
435000 0.99676 15637.5
440000 0.995973 15651.3
445000 0.991876 15714
450000 0.995134 15664.1
455000 0.994081 15679.8
460000 0.993351 15691.6
465000 0.992227 15709.9
470000 0.990315 15740.7
475000 0.9999 15588.7
480000 0.999996 15586.6
485000 1.00195 15557.3
490000 1.00194 15557.5
495000 0.999272 15599
500000 0.984945 15825.1
505000 0.994878 15668.5
510000 0.995335 15659.8
515000 1.00456 15516.1
520000 0.998502 15609.6
525000 0.997201 15630.5
530000 0.999743 15591.1
535000 0.994358 15675.1
540000 1.00127 15566.9
545000 0.992964 15697.7
550000 0.997685 15623.5
